incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
834296127,S180460222,02/15/2018 01:01:46 PM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,1000 Block DAY RD,,SANTA CLARA COUNTY,CA,,,37.03755606496451,-121.59605243152636,02/16/2018 02:16:41 AM,02/22/2018 06:41:01 PM,POINT (-121.596052431526 37.0375560649645),13,Thursday,Death
834296122,S180460238,02/15/2018 01:32:48 PM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,900 Block N SAN ANTONIO RD,,SANTA CLARA COUNTY,CA,,,37.40031224895896,-122.11285099439614,02/16/2018 02:16:41 AM,02/22/2018 06:41:01 PM,POINT (-122.112850994396 37.400312248959),13,Thursday,Death
834417357,S180470420,02/16/2018 06:10:34 PM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,700 Block ALLEN CT,,SANTA CLARA COUNTY,CA,,,37.432500691176905,-122.12043568508709,02/17/2018 06:01:15 AM,02/23/2018 06:11:12 PM,POINT (-122.120435685087 37.4325006911769),18,Friday,Death
835650396,S180610080,03/02/2018 08:31:14 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: DU,,15800 Block MIRADERO AV,,SANTA CLARA COUNTY,CA,,,37.39138088587749,-121.81302139020755,03/02/2018 06:01:04 PM,03/09/2018 02:11:49 PM,POINT (-121.81302139020757 37.391380885877496),8,Friday,Death
835785422,S180610169,03/02/2018 11:36:11 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,500 Block SHAWNEE LN,,SANTA CLARA COUNTY,CA,,,37.24171411635703,-121.8337909492323,03/02/2018 10:41:23 PM,03/09/2018 06:21:39 PM,POINT (-121.8337909492323 37.24171411635703),11,Friday,Death
836825461,S180680074,03/09/2018 07:27:40 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,MOFFAT ST,,SANTA CLARA COUNTY,CA,,,37.42415266487495,-121.97357118905028,03/10/2018 02:10:57 AM,03/16/2018 04:12:16 PM,POINT (-121.97357118905026 37.424152664874946),7,Friday,Death
836885695,S180690075,03/10/2018 08:40:39 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,1 Block BLOCK FOREST AV,,SANTA CLARA COUNTY,CA,,,37.32703241424894,-121.93588488199231,03/10/2018 10:37:06 PM,03/17/2018 04:03:52 PM,POINT (-121.9358848819923 37.32703241424894),8,Saturday,Death
836885678,S180690091,03/10/2018 09:58:17 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,2100 Block MONTEREY HWY,,SANTA CLARA COUNTY,CA,,,37.303649958681305,-121.85979009570757,03/10/2018 10:37:06 PM,03/17/2018 04:03:52 PM,POINT (-121.85979009570755 37.303649958681305),9,Saturday,Death
836894604,S180690156,03/10/2018 01:39:57 PM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,8500 Block MOSSROSE WAY,,SANTA CLARA COUNTY,CA,,,37.01699621920452,-121.60688392238035,03/11/2018 02:56:24 AM,03/17/2018 08:51:39 PM,POINT (-121.60688392238036 37.01699621920452),13,Saturday,Death
838193020,S180740214,03/15/2018 10:56:09 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,1400 Block VIA CAMPO AUREO,,SANTA CLARA COUNTY,CA,,,37.2226425384591,-121.90035902282006,03/16/2018 01:57:38 AM,03/23/2018 01:36:12 AM,POINT (-121.90035902282004 37.222642538459084),10,Thursday,Death
840154606,S180860186,03/27/2018 11:30:54 AM,CORONER'S CASE,Call Type: 1055   <br>Description: CORONER'S CASE<br>Final Disposition: N,,15400 Block S WINCHESTER BLVD,,SANTA CLARA COUNTY,CA,,,37.24435355551173,-121.97418708615744,03/27/2018 09:58:15 PM,04/03/2018 05:32:33 PM,POINT (-121.97418708615744 37.24435355551173),11,Tuesday,Death
