incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
834168771,S180440323,02/13/2018 03:30:33 PM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: R,,1 Block BLOCK HANNA ST,,SANTA CLARA COUNTY,CA,,,37.001469910943584,-121.57117768855404,02/14/2018 06:03:57 AM,02/20/2018 10:47:00 PM,POINT (-121.571177688554 37.0014699109436),15,Tuesday,Family Offense
834238371,S180450461,02/14/2018 08:12:37 PM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: R,,11100 Block NEW AV,,SANTA CLARA COUNTY,CA,,,37.07202089601812,-121.55744652498686,02/15/2018 06:54:53 AM,02/22/2018 02:25:02 AM,POINT (-121.557446524987 37.0720208960181),20,Wednesday,Family Offense
834807931,S180520162,02/21/2018 10:28:22 AM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: N,,10200 Block PARKWOOD DR,,SANTA CLARA COUNTY,CA,,,37.32606156981002,-122.04544943886721,02/21/2018 10:27:53 PM,02/28/2018 02:54:10 PM,POINT (-122.0454494388672 37.32606156981002),10,Wednesday,Family Offense
835034543,S180540258,02/23/2018 03:14:11 PM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: R,,12400 Block ROBLEDA RD,,SANTA CLARA COUNTY,CA,,,37.366360194756936,-122.13465941163132,02/24/2018 02:50:01 AM,03/02/2018 11:00:09 PM,POINT (-122.13465941163132 37.36636019475694),15,Friday,Family Offense
834059622,S180420090,02/11/2018 08:56:09 AM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: N,,14000 Block SHANNON RD,,SANTA CLARA COUNTY,CA,,,37.217340705319096,-121.91159360191507,02/12/2018 09:37:21 PM,02/18/2018 02:30:46 PM,POINT (-121.911593601915 37.2173407053191),8,Sunday,Family Offense
835167856,S180560117,02/25/2018 10:45:29 AM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: N,,1 Block BLOCK GREAT MALL DR,,SANTA CLARA COUNTY,CA,,,37.416514542396705,-121.90131015521533,02/25/2018 10:50:54 PM,03/04/2018 06:27:42 PM,POINT (-121.90131015521531 37.4165145423967),10,Sunday,Family Offense
835167801,S180560179,02/25/2018 01:39:46 PM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: N,,200 Block EASTSIDE DR,,SANTA CLARA COUNTY,CA,,,37.37560605335608,-121.83370408115569,02/25/2018 10:50:54 PM,03/04/2018 06:27:43 PM,POINT (-121.83370408115569 37.37560605335608),13,Sunday,Family Offense
835320946,S180580019,02/27/2018 01:53:36 AM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: R,,700 Block S BASCOM AV,,SANTA CLARA COUNTY,CA,,,37.31493528754397,-121.93094108949506,02/27/2018 02:14:53 PM,03/06/2018 06:39:10 AM,POINT (-121.93094108949506 37.31493528754397),1,Tuesday,Family Offense
835880568,S180620285,03/03/2018 07:29:20 PM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: IN,,1 Block BLOCK PACHECO PASS HWY,,SANTA CLARA COUNTY,CA,,,37.00289007046086,-121.5318504921186,03/04/2018 06:19:34 AM,03/11/2018 04:11:10 AM,POINT (-121.53185049211858 37.00289007046086),19,Saturday,Family Offense
836433341,S180650290,03/06/2018 02:48:54 PM,DOMESTIC VIOLENCE,Call Type: 273.5  <br>Description: DOMESTIC VIOLENCE<br>Final Disposition: R,,1700 Block RENAISSANCE CT,,SANTA CLARA COUNTY,CA,,,37.08925979125582,-121.57723182149599,03/07/2018 02:29:04 AM,03/13/2018 05:49:35 PM,POINT (-121.57723182149599 37.08925979125582),14,Tuesday,Family Offense
