incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
834061387,S180380296,02/07/2018 01:28:09 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,HOMESTEAD RD,,SANTA CLARA COUNTY,CA,,,37.3382377007391,-122.03108080372944,02/12/2018 09:37:52 PM,02/14/2018 06:59:05 PM,POINT (-122.031080803729 37.3382377007391),13,Wednesday,Fire
834060075,S180410059,02/10/2018 05:48:53 AM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,100 Block BLOCK UVAS RD,,SANTA CLARA COUNTY,CA,,,37.059169630109054,-121.6617230596849,02/12/2018 09:37:30 PM,02/17/2018 11:00:21 AM,POINT (-121.661723059685 37.0591696301091),5,Saturday,Fire
834296055,S180460322,02/15/2018 04:17:39 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,SAN FELIPE RD,,SANTA CLARA COUNTY,CA,,,37.25038539665557,-121.6841738246494,02/16/2018 02:16:41 AM,02/22/2018 10:35:27 PM,POINT (-121.684173824649 37.2503853966556),16,Thursday,Fire
835110091,S180550172,02/24/2018 01:04:40 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,25200 Block LA RENA LN,,SANTA CLARA COUNTY,CA,,,37.36739195392978,-122.12108802721147,02/25/2018 02:22:04 AM,03/03/2018 06:51:36 PM,POINT (-122.12108802721147 37.36739195392978),13,Saturday,Fire
834059511,S180420212,02/11/2018 03:07:11 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,MC KEAN RD,,SANTA CLARA COUNTY,CA,,,37.18227481421714,-121.76029982175226,02/12/2018 09:37:21 PM,02/18/2018 10:16:05 PM,POINT (-121.760299821752 37.1822748142171),15,Sunday,Fire
834059485,S180420241,02/11/2018 04:21:19 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: IN",,5200 Block E DUNNE AV,,SANTA CLARA COUNTY,CA,,,37.16678959461349,-121.57656230278471,02/12/2018 09:37:21 PM,02/18/2018 10:16:05 PM,POINT (-121.576562302785 37.1667895946135),16,Sunday,Fire
835272970,S180570132,02/26/2018 10:32:44 AM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: IN",,FY 87,,SANTA CLARA COUNTY,CA,,,37.31989349020512,-121.88869954908243,02/26/2018 10:51:40 PM,03/05/2018 06:22:24 PM,POINT (-121.88869954908243 37.31989349020512),10,Monday,Fire
835430292,S180580451,02/27/2018 08:32:24 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: R",,1 Block BLOCK N 1ST ST,,SANTA CLARA COUNTY,CA,,,37.40970550083551,-121.94408632547773,02/28/2018 10:25:37 AM,03/07/2018 02:30:45 AM,POINT (-121.94408632547774 37.40970550083551),20,Tuesday,Fire
835484021,S180590157,02/28/2018 11:01:29 AM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,N STELLING RD,,SANTA CLARA COUNTY,CA,,,37.322928394412905,-122.04036310979794,02/28/2018 10:44:38 PM,03/07/2018 06:41:56 PM,POINT (-122.04036310979794 37.32292839441291),11,Wednesday,Fire
835650414,S180610058,03/02/2018 07:23:53 AM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: IN",,HWY 280,,SANTA CLARA COUNTY,CA,,,37.33442012524594,-122.03124337782477,03/02/2018 06:01:04 PM,03/09/2018 02:11:49 PM,POINT (-122.03124337782475 37.33442012524594),7,Friday,Fire
835880584,S180620256,03/03/2018 05:59:25 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,12200 Block SARATOGA SUNNYVALE RD,,SANTA CLARA COUNTY,CA,,,37.2902719550421,-122.03123308649089,03/04/2018 06:19:34 AM,03/11/2018 12:19:04 AM,POINT (-122.03123308649087 37.2902719550421),17,Saturday,Fire
835894758,S180620351,03/03/2018 10:48:33 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,AIELLO DR,,SANTA CLARA COUNTY,CA,,,37.29640069620263,-121.84865638395118,03/04/2018 10:34:23 AM,03/11/2018 04:11:10 AM,POINT (-121.84865638395118 37.29640069620263),22,Saturday,Fire
834060574,S180400030,02/09/2018 01:42:56 AM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,N WHITE RD,,SANTA CLARA COUNTY,CA,,,37.365744649967745,-121.82671430386576,02/12/2018 09:37:39 PM,02/16/2018 06:40:04 AM,POINT (-121.826714303866 37.3657446499677),1,Friday,Fire
834060300,S180400308,02/09/2018 04:40:46 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,OAKLAND RD,,SANTA CLARA COUNTY,CA,,,37.37197032032775,-121.8922146028607,02/12/2018 09:37:35 PM,02/16/2018 11:09:32 PM,POINT (-121.892214602861 37.3719703203277),16,Friday,Fire
836371103,S180640372,03/05/2018 09:06:41 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: IN",,W FREMONT AV,,SANTA CLARA COUNTY,CA,,,37.351966626168654,-122.04281984696556,03/06/2018 06:36:48 AM,03/13/2018 03:12:32 AM,POINT (-122.04281984696557 37.35196662616866),21,Monday,Fire
836475749,S180660049,03/07/2018 05:02:57 AM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,13800 Block LLAGAS AV,,SANTA CLARA COUNTY,CA,,,37.08945957123889,-121.60785090801943,03/07/2018 02:45:57 PM,03/14/2018 09:28:15 AM,POINT (-121.60785090801944 37.08945957123889),5,Wednesday,Fire
836610565,S180670333,03/08/2018 02:16:23 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: IN",,800 Block GUADALUPE PKWY,,SANTA CLARA COUNTY,CA,,,37.348040257192345,-121.90553060871092,03/09/2018 02:58:14 AM,03/15/2018 07:16:09 PM,POINT (-121.90553060871092 37.34804025719234),14,Thursday,Fire
836839852,S180680453,03/09/2018 08:01:51 PM,"FIRE, SPECIFY TYPE","Call Type: 904    <br>Description: FIRE, SPECIFY TYPE<br>Final Disposition: N",,7900 Block CROY RD,,SANTA CLARA COUNTY,CA,,,37.081230393202794,-121.76874879860027,03/10/2018 06:02:41 AM,03/17/2018 05:27:09 AM,POINT (-121.76874879860028 37.08123039320279),20,Friday,Fire
