incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
834059639,S180420072,02/11/2018 06:37:03 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,600 Block LOMITA DR,,SANTA CLARA COUNTY,CA,,,37.4226670550627,-122.1720898845817,02/12/2018 09:37:21 PM,02/18/2018 02:30:45 PM,POINT (-122.172089884582 37.4226670550627),6,Sunday,Liquor
835824466,S180620015,03/03/2018 01:17:04 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,1 Block BLOCK SERRA ST,,SANTA CLARA COUNTY,CA,,,37.42812952171701,-122.1551283767366,03/03/2018 10:09:16 AM,03/10/2018 07:54:17 AM,POINT (-122.15512837673661 37.42812952171701),1,Saturday,Liquor
836856348,S180690026,03/10/2018 01:39:29 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,MAYFIELD AV,,SANTA CLARA COUNTY,CA,,,37.420107196597534,-122.1656956364447,03/10/2018 10:56:05 AM,03/17/2018 09:15:20 AM,POINT (-122.1656956364447 37.42010719659754),1,Saturday,Liquor
842158177,S180990247,04/09/2018 01:49:08 PM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: N,,11400 Block ENCHANTO VISTA DR,,SANTA CLARA COUNTY,CA,,,37.39235249658329,-121.81627440647304,04/09/2018 09:44:24 PM,04/16/2018 05:46:54 PM,POINT (-121.81627440647304 37.39235249658329),13,Monday,Liquor
856286227,S181540080,06/03/2018 07:58:24 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,1000 Block CAMPUS DR,,SANTA CLARA COUNTY,CA,,,37.43138924756549,-122.16315742658136,06/03/2018 05:56:05 PM,06/06/2018 01:30:51 PM,POINT (-122.16315742658136 37.43138924756549),7,Sunday,Liquor
854581369,S181380454,05/18/2018 10:08:02 PM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,NATHAN ABBOTT WAY,,SANTA CLARA COUNTY,CA,,,37.42358155799505,-122.16766744776123,05/19/2018 05:48:01 AM,05/24/2018 09:19:53 PM,POINT (-122.16766744776123 37.423581557995064),22,Friday,Liquor
854581368,S181380455,05/18/2018 10:09:16 PM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,NATHAN ABBOTT WAY,,SANTA CLARA COUNTY,CA,,,37.42358155799505,-122.16766744776123,05/19/2018 05:48:01 AM,05/24/2018 09:19:53 PM,POINT (-122.16766744776123 37.423581557995064),22,Friday,Liquor
854597051,S181390008,05/19/2018 12:26:35 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,500 Block MAYFIELD AV,,SANTA CLARA COUNTY,CA,,,37.42138476776389,-122.1670328781823,05/19/2018 09:56:18 AM,05/24/2018 09:19:54 PM,POINT (-122.1670328781823 37.42138476776389),0,Saturday,Liquor
834009674,S173020041,10/29/2017 02:57:29 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: R,,600 Block LOMITA DR,,SANTA CLARA COUNTY,CA,,,37.4226670550627,-122.1720898845817,02/12/2018 09:06:39 PM,02/13/2018 11:42:37 AM,POINT (-122.172089884582 37.4226670550627),2,Sunday,Liquor
834023003,S173310003,11/27/2017 12:15:42 AM,MINOR IN POSS OF ALCOHOL IN PUBLIC,Call Type: 25662  <br>Description: MINOR IN POSS OF ALCOHOL IN PUBLIC<br>Final Disposition: IN,,100 Block BLOCK STEVENS CREEK BLVD,,SANTA CLARA COUNTY,CA,,,37.32300479677478,-122.00937566672005,02/12/2018 09:11:52 PM,02/13/2018 11:47:39 AM,POINT (-122.00937566672 37.3230047967748),0,Monday,Liquor
