incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
834531733,S180490325,02/18/2018 09:50:47 PM,Other,Call Type: PATCHK <br>Description: <br>Final Disposition: N,,CROTHERS RD,,SANTA CLARA COUNTY,CA,,,37.39227512972533,-121.81582552066513,02/19/2018 06:05:23 AM,02/26/2018 02:31:59 AM,POINT (-121.81582552066513 37.39227512972533),21,Sunday,Other
834604398,S180490326,02/18/2018 09:52:42 PM,Other,Call Type: PATCHK <br>Description: <br>Final Disposition: N,,WYRICK AV,,SANTA CLARA COUNTY,CA,,,37.258439552300025,-121.92539303986696,02/19/2018 10:11:14 AM,02/26/2018 02:31:59 AM,POINT (-121.92539303986696 37.25843955230002),21,Sunday,Other
834604395,S180490332,02/18/2018 10:04:14 PM,Other,Call Type: PATCHK <br>Description: <br>Final Disposition: N,,1 Block BLOCK S BASCOM AV,,SANTA CLARA COUNTY,CA,,,37.31493528754397,-121.93094108949506,02/19/2018 10:11:14 AM,02/26/2018 02:31:59 AM,POINT (-121.93094108949506 37.31493528754397),22,Sunday,Other
834604384,S180490345,02/18/2018 10:33:22 PM,Other,Call Type: 1154OC <br>Description: <br>Final Disposition: N,,SIERRA RD,,SANTA CLARA COUNTY,CA,,,37.40412589412199,-121.83638268953436,02/19/2018 10:11:14 AM,02/26/2018 02:31:59 AM,POINT (-121.83638268953437 37.40412589412199),22,Sunday,Other
834604383,S180490346,02/18/2018 10:36:33 PM,Other,Call Type: PATCH  <br>Description: <br>Final Disposition: N,,REDWOOD RETREAT RD,,SANTA CLARA COUNTY,CA,,,37.03207480924567,-121.7062169037138,02/19/2018 10:11:14 AM,02/26/2018 02:31:59 AM,POINT (-121.70621690371381 37.03207480924567),22,Sunday,Other
834604359,S180490371,02/18/2018 11:42:29 PM,Other,Call Type: PATCHK <br>Description: <br>Final Disposition: N,,SWEIGERT RD,,SANTA CLARA COUNTY,CA,,,37.41536054966027,-121.84429738738014,02/19/2018 10:11:14 AM,02/26/2018 06:55:27 AM,POINT (-121.84429738738014 37.41536054966027),23,Sunday,Other
834168739,S180440433,02/13/2018 08:07:03 PM,Other,Call Type: 6FATC  <br>Description: <br>Final Disposition: N,,600 Block S WINCHESTER BLVD,,SANTA CLARA COUNTY,CA,,,37.31539193886081,-121.94921093771327,02/14/2018 06:03:57 AM,02/21/2018 02:47:55 AM,POINT (-121.949210937713 37.3153919388608),20,Tuesday,Other
834182461,S180440443,02/13/2018 08:37:05 PM,Other,Call Type: 6FATC  <br>Description: <br>Final Disposition: N,,1700 Block LOYOLA DR,,SANTA CLARA COUNTY,CA,,,37.334400475030094,-121.83424137869534,02/14/2018 10:16:21 AM,02/21/2018 02:47:56 AM,POINT (-121.834241378695 37.3344004750301),20,Tuesday,Other
834060221,S180400388,02/09/2018 07:39:44 PM,Other,Call Type: 6FATC  <br>Description: <br>Final Disposition: N,,5800 Block HERMA ST,,SANTA CLARA COUNTY,CA,,,37.24392240330442,-121.81926313412548,02/12/2018 09:37:35 PM,02/17/2018 02:19:56 AM,POINT (-121.819263134125 37.2439224033044),19,Friday,Other
834061721,S180370514,02/06/2018 08:19:50 PM,Other,Call Type: 6FATC  <br>Description: <br>Final Disposition: N,,500 Block PALMETTO DR,,SANTA CLARA COUNTY,CA,,,37.28843997446607,-121.82850533585369,02/12/2018 09:37:59 PM,02/14/2018 02:32:03 AM,POINT (-121.828505335854 37.2884399744661),20,Tuesday,Other
834061712,S180370521,02/06/2018 08:39:47 PM,Other,Call Type: 6FATC  <br>Description: <br>Final Disposition: N,,1 Block RANCHO DR,,SANTA CLARA COUNTY,CA,,,37.2815247868664,-121.83756030629421,02/12/2018 09:37:55 PM,02/14/2018 02:32:03 AM,POINT (-121.837560306294 37.2815247868664),20,Tuesday,Other
834061706,S180370528,02/06/2018 08:51:39 PM,Other,Call Type: 1154OC <br>Description: <br>Final Disposition: N,,SIERRA RD,,SANTA CLARA COUNTY,CA,,,37.40412589412199,-121.83638268953436,02/12/2018 09:37:55 PM,02/14/2018 02:32:03 AM,POINT (-121.836382689534 37.404125894122),20,Tuesday,Other
834061694,S180370541,02/06/2018 09:22:08 PM,Other,Call Type: 1154OC <br>Description: <br>Final Disposition: T,,0 BLOCK SIERRA VISTA OPEN SP,,SANTA CLARA COUNTY,CA,,,37.40897388700015,-121.80121061702302,02/12/2018 09:37:55 PM,02/14/2018 02:32:03 AM,POINT (-121.801210617023 37.4089738870001),21,Tuesday,Other
834061658,S180370577,02/06/2018 11:38:41 PM,Other,Call Type: 1154OC <br>Description: <br>Final Disposition: N,,N WHITE RD,,SANTA CLARA COUNTY,CA,,,37.365744649967745,-121.82671430386576,02/12/2018 09:37:55 PM,02/14/2018 06:05:39 AM,POINT (-121.826714303866 37.3657446499677),23,Tuesday,Other
834061621,S180380034,02/07/2018 02:47:47 AM,Other,Call Type: 1154OC <br>Description: <br>Final Disposition: N,,1 Block BLOCK BLOSSOM HILL RD,,SANTA CLARA COUNTY,CA,,,37.25089019834051,-121.8386962053566,02/12/2018 09:37:55 PM,02/14/2018 10:17:36 AM,POINT (-121.838696205357 37.2508901983405),2,Wednesday,Other
